,importance,name
391,0.0006003482832293538,"sensor2__linear_trend__attr_""intercept"""
331,0.0005961549693064517,"sensor2__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)"
599,0.0005935589634429743,sensor3__root_mean_square
375,0.0005751527960922625,"sensor2__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0"
83,0.0005683312380358612,"sensor0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)"
355,0.000555874526309418,sensor3__absolute_sum_of_changes
916,0.0005480940430110839,"sensor1__fft_coefficient__attr_""abs""__coeff_9"
17,0.0005436609460289249,"sensor1__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
356,0.0005355488746139684,sensor3__mean_abs_change
700,0.0005343271839879875,"sensor3__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
378,0.0005322277862365858,"sensor2__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)"
35,0.0005254058837127983,"sensor1__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)"
184,0.000520557698972125,"sensor0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
30,0.000514728094475373,"sensor1__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)"
3,0.0005078359467786533,sensor0__spkt_welch_density__coeff_5
1097,0.0005008896967962246,sensor1__skewness
478,0.0004966789533636955,"sensor2__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)"
940,0.0004938273464485929,sensor1__quantile__q_0.3
222,0.0004911483331683016,sensor3__time_reversal_asymmetry_statistic__lag_3
47,0.0004903021578243602,"sensor1__linear_trend__attr_""intercept"""
100,0.000484606865153702,sensor0__skewness
278,0.00048264146050789827,sensor1__quantile__q_0.1
648,0.00047944645849260696,"sensor3__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)"
609,0.0004785069581728393,sensor1__c3__lag_3
368,0.000475554214566154,sensor0__time_reversal_asymmetry_statistic__lag_3
468,0.00047505582396493713,"sensor2__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
54,0.0004712525455520741,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean"""
789,0.00046360803574071937,"sensor0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
376,0.00046316458559059485,"sensor0__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max"""
137,0.00046285644787481665,sensor0__quantile__q_0.3
156,0.0004601389146364987,"sensor0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)"
1206,0.0004528102753813573,sensor1__quantile__q_0.7
365,0.0004442712440529136,"sensor2__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)"
533,0.0004339801698307353,"sensor0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2"
26,0.0004278534000390823,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6"
188,0.00042638267114064306,"sensor0__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
1245,0.00042338641014066843,"sensor2__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0"
490,0.00041527832579829616,"sensor3__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
610,0.0004139571212012676,"sensor3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
909,0.0004090332526297548,"sensor1__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0"
37,0.00040834821033556803,sensor1__first_location_of_minimum
25,0.00040725603159718493,"sensor1__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean"""
91,0.000407024409819689,"sensor0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min"""
932,0.00040049578775010956,"sensor0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var"""
565,0.00039771605338660243,sensor3__skewness
418,0.00039758829102559304,"sensor2__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)"
964,0.0003962649068152484,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2"
516,0.000394729767983494,sensor1__quantile__q_0.2
265,0.0003926136938570316,sensor1__minimum
39,0.0003898643700542283,"sensor0__fft_coefficient__attr_""abs""__coeff_7"
596,0.0003761647046113557,"sensor3__linear_trend__attr_""intercept"""
502,0.0003756540336364347,"sensor3__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)"
605,0.00037480278860378365,sensor3__cid_ce__normalize_False
56,0.00037161817416786827,"sensor0__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6"
1302,0.00036972878691668117,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0"
569,0.0003693840882975565,"sensor3__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)"
89,0.0003663825189626989,"sensor0__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)"
51,0.0003611084684434875,"sensor1__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
354,0.00036064447338779096,"sensor3__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
220,0.0003599290340591187,"sensor0__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)"
152,0.00035829892928433867,"sensor2__fft_coefficient__attr_""abs""__coeff_0"
629,0.0003580430491869678,"sensor2__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var"""
770,0.0003551184187687562,"sensor2__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
55,0.0003515734748882207,"sensor1__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min"""
80,0.0003512995754936268,"sensor0__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)"
335,0.00035098460525241344,sensor3__time_reversal_asymmetry_statistic__lag_2
606,0.0003485011261223032,"sensor3__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)"
818,0.00033921945833734245,"sensor2__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0"
740,0.00033858713218766387,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var"""
295,0.00033688109863032713,"sensor2__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
1180,0.00033675762852612793,"sensor3__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
395,0.0003331314663586963,sensor2__partial_autocorrelation__lag_2
315,0.0003316818023632712,"sensor2__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)"
371,0.0003301048730512447,sensor0__c3__lag_1
1283,0.00032905840148237905,sensor2__c3__lag_2
